client_id,origination_date,days_past_due
1,2005-01-02,25
2,2005-01-09,42
3,2005-01-16,17
4,2005-01-23,34
5,2005-01-30,43
6,2005-02-06,32
7,2005-02-13,13
8,2005-02-20,9
9,2005-02-27,22
10,2005-03-06,34
11,2005-03-13,34
12,2005-03-20,1
13,2005-03-27,22
14,2005-04-03,40
15,2005-04-10,35
16,2005-04-17,42
17,2005-04-24,28
18,2005-05-01,47
19,2005-05-08,30
20,2005-05-15,26
21,2005-05-22,22
22,2005-05-29,14
23,2005-06-05,23
24,2005-06-12,16
25,2005-06-19,25
26,2005-06-26,26
27,2005-07-03,33
28,2005-07-10,33
29,2005-07-17,18
30,2005-07-24,16
31,2005-07-31,29
32,2005-08-07,20
33,2005-08-14,10
34,2005-08-21,6
35,2005-08-28,30
36,2005-09-04,20
37,2005-09-11,36
38,2005-09-18,10
39,2005-09-25,32
40,2005-10-02,28
41,2005-10-09,21
42,2005-10-16,20
43,2005-10-23,35
44,2005-10-30,29
45,2005-11-06,26
46,2005-11-13,22
47,2005-11-20,12
48,2005-11-27,30
49,2005-12-04,8
50,2005-12-11,18
51,2005-12-18,33
52,2005-12-25,34
53,2006-01-01,9
54,2006-01-08,2
55,2006-01-15,30
56,2006-01-22,15
57,2006-01-29,33
58,2006-02-05,33
59,2006-02-12,15
60,2006-02-19,12
61,2006-02-26,15
62,2006-03-05,26
63,2006-03-12,13
64,2006-03-19,9
65,2006-03-26,2
66,2006-04-02,18
67,2006-04-09,15
68,2006-04-16,4
69,2006-04-23,38
70,2006-04-30,14
71,2006-05-07,28
72,2006-05-14,34
73,2006-05-21,39
74,2006-05-28,24
75,2006-06-04,35
76,2006-06-11,31
77,2006-06-18,33
78,2006-06-25,28
79,2006-07-02,26
80,2006-07-09,13
81,2006-07-16,18
82,2006-07-23,44
83,2006-07-30,22
84,2006-08-06,21
85,2006-08-13,34
86,2006-08-20,38
87,2006-08-27,30
88,2006-09-03,39
89,2006-09-10,31
90,2006-09-17,29
91,2006-09-24,19
92,2006-10-01,20
93,2006-10-08,8
94,2006-10-15,12
95,2006-10-22,34
96,2006-10-29,33
97,2006-11-05,18
98,2006-11-12,20
99,2006-11-19,37
100,2006-11-26,34
101,2006-12-03,35
102,2006-12-10,45
103,2006-12-17,44
104,2006-12-24,17
105,2006-12-31,3
106,2007-01-07,72
107,2007-01-14,52
108,2007-01-21,47
109,2007-01-28,48
110,2007-02-04,63
111,2007-02-11,55
112,2007-02-18,20
113,2007-02-25,39
114,2007-03-04,65
115,2007-03-11,56
116,2007-03-18,45
117,2007-03-25,52
118,2007-04-01,59
119,2007-04-08,48
120,2007-04-15,57
121,2007-04-22,46
122,2007-04-29,45
123,2007-05-06,28
124,2007-05-13,52
125,2007-05-20,63
126,2007-05-27,41
127,2007-06-03,82
128,2007-06-10,63
129,2007-06-17,40
130,2007-06-24,70
131,2007-07-01,58
132,2007-07-08,65
133,2007-07-15,76
134,2007-07-22,30
135,2007-07-29,71
136,2007-08-05,59
137,2007-08-12,83
138,2007-08-19,41
139,2007-08-26,46
140,2007-09-02,31
141,2007-09-09,60
142,2007-09-16,54
143,2007-09-23,62
144,2007-09-30,53
145,2007-10-07,41
146,2007-10-14,75
147,2007-10-21,53
148,2007-10-28,43
149,2007-11-04,60
150,2007-11-11,46
151,2007-11-18,83
152,2007-11-25,59
153,2007-12-02,46
154,2007-12-09,65
155,2007-12-16,50
156,2007-12-23,55
157,2007-12-30,70
158,2008-01-06,23
159,2008-01-13,33
160,2008-01-20,59
161,2008-01-27,50
162,2008-02-03,28
163,2008-02-10,68
164,2008-02-17,46
165,2008-02-24,67
166,2008-03-02,63
167,2008-03-09,62
168,2008-03-16,62
169,2008-03-23,39
170,2008-03-30,72
171,2008-04-06,41
172,2008-04-13,81
173,2008-04-20,79
174,2008-04-27,42
175,2008-05-04,57
176,2008-05-11,52
177,2008-05-18,58
178,2008-05-25,77
179,2008-06-01,38
180,2008-06-08,58
181,2008-06-15,71
182,2008-06-22,66
183,2008-06-29,54
184,2008-07-06,59
185,2008-07-13,74
186,2008-07-20,39
187,2008-07-27,74
188,2008-08-03,43
189,2008-08-10,50
190,2008-08-17,68
191,2008-08-24,55
192,2008-08-31,43
193,2008-09-07,47
194,2008-09-14,61
195,2008-09-21,59
196,2008-09-28,66
197,2008-10-05,73
198,2008-10-12,46
199,2008-10-19,55
200,2008-10-26,53
201,2008-11-02,79
202,2008-11-09,51
203,2008-11-16,27
204,2008-11-23,48
205,2008-11-30,44
206,2008-12-07,60
207,2008-12-14,61
208,2008-12-21,22
209,2008-12-28,63
210,2009-01-04,62
211,2009-01-11,66
212,2009-01-18,66
213,2009-01-25,41
214,2009-02-01,70
215,2009-02-08,27
216,2009-02-15,44
217,2009-02-22,29
218,2009-03-01,56
219,2009-03-08,68
220,2009-03-15,68
221,2009-03-22,81
222,2009-03-29,54
223,2009-04-05,61
224,2009-04-12,54
225,2009-04-19,61
226,2009-04-26,72
227,2009-05-03,49
228,2009-05-10,62
229,2009-05-17,39
230,2009-05-24,40
231,2009-05-31,45
232,2009-06-07,67
233,2009-06-14,73
234,2009-06-21,27
235,2009-06-28,73
236,2009-07-05,45
237,2009-07-12,50
238,2009-07-19,56
239,2009-07-26,71
240,2009-08-02,69
241,2009-08-09,60
242,2009-08-16,53
243,2009-08-23,37
244,2009-08-30,46
245,2009-09-06,70
246,2009-09-13,55
247,2009-09-20,61
248,2009-09-27,49
249,2009-10-04,46
250,2009-10-11,54
251,2009-10-18,45
252,2009-10-25,56
253,2009-11-01,69
254,2009-11-08,47
255,2009-11-15,76
256,2009-11-22,24
257,2009-11-29,35
258,2009-12-06,58
259,2009-12-13,36
260,2009-12-20,63
261,2009-12-27,65
262,2010-01-03,34
263,2010-01-10,19
264,2010-01-17,27
265,2010-01-24,18
266,2010-01-31,14
267,2010-02-07,13
268,2010-02-14,0
269,2010-02-21,16
270,2010-02-28,21
271,2010-03-07,40
272,2010-03-14,24
273,2010-03-21,19
274,2010-03-28,19
275,2010-04-04,38
276,2010-04-11,32
277,2010-04-18,37
278,2010-04-25,26
279,2010-05-02,26
280,2010-05-09,9
281,2010-05-16,42
282,2010-05-23,22
283,2010-05-30,31
284,2010-06-06,27
285,2010-06-13,13
286,2010-06-20,10
287,2010-06-27,18
288,2010-07-04,18
289,2010-07-11,33
290,2010-07-18,10
291,2010-07-25,27
292,2010-08-01,34
293,2010-08-08,24
294,2010-08-15,24
295,2010-08-22,35
296,2010-08-29,27
297,2010-09-05,44
298,2010-09-12,19
299,2010-09-19,19
300,2010-09-26,29
301,2010-10-03,14
302,2010-10-10,40
303,2010-10-17,37
304,2010-10-24,39
305,2010-10-31,19
306,2010-11-07,13
307,2010-11-14,43
308,2010-11-21,29
309,2010-11-28,35
310,2010-12-05,30
311,2010-12-12,21
312,2010-12-19,31
313,2010-12-26,17
314,2011-01-02,12
315,2011-01-09,27
316,2011-01-16,25
317,2011-01-23,17
318,2011-01-30,36
319,2011-02-06,21
320,2011-02-13,19
321,2011-02-20,19
322,2011-02-27,17
323,2011-03-06,18
324,2011-03-13,8
325,2011-03-20,23
326,2011-03-27,22
327,2011-04-03,12
328,2011-04-10,40
329,2011-04-17,22
330,2011-04-24,36
331,2011-05-01,6
332,2011-05-08,23
333,2011-05-15,39
334,2011-05-22,27
335,2011-05-29,35
336,2011-06-05,43
337,2011-06-12,8
338,2011-06-19,24
339,2011-06-26,36
340,2011-07-03,34
341,2011-07-10,36
342,2011-07-17,6
343,2011-07-24,14
344,2011-07-31,43
345,2011-08-07,24
346,2011-08-14,10
347,2011-08-21,36
348,2011-08-28,24
349,2011-09-04,42
350,2011-09-11,35
351,2011-09-18,31
352,2011-09-25,31
353,2011-10-02,5
354,2011-10-09,37
355,2011-10-16,41
356,2011-10-23,22
357,2011-10-30,29
358,2011-11-06,14
359,2011-11-13,22
360,2011-11-20,25
361,2011-11-27,20
362,2011-12-04,22
363,2011-12-11,16
364,2011-12-18,30
365,2011-12-25,28
366,2012-01-01,32
367,2012-01-08,42
368,2012-01-15,31
369,2012-01-22,11
370,2012-01-29,42
371,2012-02-05,8
372,2012-02-12,39
373,2012-02-19,27
374,2012-02-26,40
375,2012-03-04,15
376,2012-03-11,33
377,2012-03-18,35
378,2012-03-25,18
379,2012-04-01,25
380,2012-04-08,26
381,2012-04-15,38
382,2012-04-22,4
383,2012-04-29,21
